GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18
8600000US12134,12134,ZCTA5 12134,1422,102,895,72,730,78,527,97,53214,4853,65917,7981,(X),(X),30448,2946,62740,4373,76681,6108,N,N,37209,4480,35.7,(X),(X),(X),(X),(X),(X),(X)
8600000US12136,12136,ZCTA5 12136,379,89,274,76,254,75,105,52,89276,26424,108750,61845,(X),(X),42159,22255,123882,32882,125638,22947,N,N,115250,101955,16.6,(X),(X),(X),(X),(X),(X),(X)
8600000US12137,12137,ZCTA5 12137,614,100,457,97,393,91,157,67,61563,22889,77670,14806,(X),(X),29712,15700,69064,9826,79408,12368,N,N,34873,9760,23.1,(X),(X),(X),(X),(X),(X),(X)
8600000US12138,12138,ZCTA5 12138,1372,113,972,98,795,86,400,84,61296,6041,66667,13069,73094,4801,41154,2815,68656,4792,76586,5905,N,N,43090,5721,29.8,(X),(X),(X),(X),(X),(X),(X)
8600000US12139,12139,ZCTA5 12139,77,20,47,14,38,14,30,11,50625,13500,68125,19695,66250,21111,38750,6524,69144,15007,85872,22090,N,N,42937,9044,36.4,(X),(X),(X),(X),(X),(X),(X)
8600000US12140,12140,ZCTA5 12140,634,114,367,79,316,79,267,98,82564,4375,103068,23002,(X),(X),58906,27996,84635,8206,103004,10755,N,N,57924,11936,30.3,(X),(X),(X),(X),(X),(X),(X)
8600000US12143,12143,ZCTA5 12143,2131,141,1329,129,1023,147,802,142,49803,7672,68423,11708,(X),(X),27898,7304,65996,7473,81962,10452,N,N,35092,5024,34.3,(X),(X),(X),(X),(X),(X),(X)
8600000US12144,12144,ZCTA5 12144,8608,324,5110,261,3713,278,3498,352,63286,2667,72630,6826,87167,9164,40254,6436,77408,6047,92714,8960,N,N,51061,6701,25.9,(X),(X),(X),(X),(X),(X),(X)
8600000US12147,12147,ZCTA5 12147,182,39,119,39,110,36,63,21,63000,11774,74792,29935,84167,26576,37188,19548,74037,11498,86770,16933,N,N,48756,16593,35.2,(X),(X),(X),(X),(X),(X),(X)
8600000US12148,12148,ZCTA5 12148,1812,160,1332,173,1165,157,480,116,101307,23521,124286,18108,132070,13541,50561,15083,113825,11658,135331,14508,N,N,51518,10051,25.3,(X),(X),(X),(X),(X),(X),(X)
8600000US12149,12149,ZCTA5 12149,938,93,658,84,492,79,280,68,51000,7710,63846,9494,(X),(X),24194,4963,59918,4819,70419,6306,N,N,30655,6306,34.3,(X),(X),(X),(X),(X),(X),(X)
8600000US12150,12150,ZCTA5 12150,304,70,179,60,145,43,125,52,64286,24784,85625,18968,76806,20891,37865,19993,68392,14296,85077,18987,N,N,41339,12522,42.1,(X),(X),(X),(X),(X),(X),(X)
8600000US12151,12151,ZCTA5 12151,363,62,220,46,180,42,143,52,72321,13631,90625,17577,(X),(X),45750,20572,87573,15826,109309,22118,N,N,53308,13272,26.4,(X),(X),(X),(X),(X),(X),(X)
8600000US12153,12153,ZCTA5 12153,325,72,232,74,228,71,93,64,87393,12429,91875,20544,92125,21840,86036,43548,102187,21825,110600,29010,N,N,78159,29909,42.5,(X),(X),(X),(X),(X),(X),(X)
8600000US12154,12154,ZCTA5 12154,1044,116,754,101,608,98,290,85,66579,13917,85833,21353,(X),(X),32647,14531,78182,8111,88866,10213,N,N,44565,9396,26,(X),(X),(X),(X),(X),(X),(X)
8600000US12155,12155,ZCTA5 12155,726,83,529,81,420,75,197,53,51304,7757,57679,8582,(X),(X),24313,5312,54291,5026,61461,6098,N,N,27864,3770,28.7,(X),(X),(X),(X),(X),(X),(X)
8600000US12156,12156,ZCTA5 12156,403,111,278,81,242,84,125,87,78170,38376,103947,68721,(X),(X),(X),(X),89337,25560,115830,33473,N,N,30418,15908,21.6,(X),(X),(X),(X),(X),(X),(X)
