GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,Actual_Mean_Income,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16
8600000US11216,11216,ZCTA5 11216,21761,1198,11089,884,10672,683,(X),(X),50731,1255,44776,1892,57235,2220,59147,2595,55249,3324
8600000US11217,11217,ZCTA5 11217,16505,783,8728,598,7777,508,(X),(X),81154,3703,67208,3273,107291,5718,122448,8670,90281,5522
8600000US11218,11218,ZCTA5 11218,21750,929,13004,816,8746,493,(X),(X),46260,3459,52656,4989,62963,3158,61373,3825,65326,4684
8600000US11219,11219,ZCTA5 11219,21493,902,13867,751,7626,527,(X),(X),32025,1530,30700,1156,42992,1474,45134,2173,39098,1855
8600000US11220,11220,ZCTA5 11220,29093,1179,18723,881,10370,614,(X),(X),27134,1184,32204,2017,40716,1444,39535,1812,42849,2466
8600000US11221,11221,ZCTA5 11221,28455,1002,14967,664,13488,678,(X),(X),39455,2293,39728,2334,47949,1587,48716,1952,47097,2196
8600000US11222,11222,ZCTA5 11222,17319,763,9213,516,8106,483,(X),(X),62718,3319,58409,4268,69788,2611,74141,4412,64840,2837
8600000US11223,11223,ZCTA5 11223,22881,844,13427,596,9454,630,(X),(X),44259,3803,40442,1572,57798,2905,66266,4486,45772,1670
8600000US11224,11224,ZCTA5 11224,11186,673,5056,531,6130,480,(X),(X),43421,5468,40609,2215,58968,6752,56515,5776,60992,11311
8600000US11225,11225,ZCTA5 11225,20750,872,10461,679,10289,567,(X),(X),40900,1472,43769,2006,52555,2557,51364,3761,53766,2986
8600000US11226,11226,ZCTA5 11226,36277,1525,17214,1007,19063,1017,(X),(X),40295,1329,36262,891,48337,1728,52616,3128,44474,1701
8600000US11228,11228,ZCTA5 11228,14282,626,7947,498,6335,372,(X),(X),55089,2607,52273,2318,66590,2833,71394,4119,60563,2799
8600000US11229,11229,ZCTA5 11229,26500,1059,15012,756,11488,538,(X),(X),54144,2348,46785,1769,62359,1832,67242,2792,55978,1818
8600000US11230,11230,ZCTA5 11230,21812,882,12829,655,8983,542,(X),(X),49823,3472,41281,2271,62785,2992,69658,4381,52970,3262
8600000US11231,11231,ZCTA5 11231,14550,624,7546,490,7004,429,(X),(X),87301,5870,67649,5699,106111,7250,121309,11957,89738,6372
8600000US11232,11232,ZCTA5 11232,9580,623,5959,563,3621,316,(X),(X),34275,5327,40192,5426,47979,3668,49521,5559,45441,3054
8600000US11233,11233,ZCTA5 11233,22017,1071,9668,671,12349,720,(X),(X),41378,1126,40005,2874,51065,2837,53538,4038,49128,3305
8600000US11234,11234,ZCTA5 11234,33385,1081,16865,649,16520,749,(X),(X),54520,2741,52351,1908,65070,1912,69309,2867,60742,1938
8600000US11235,11235,ZCTA5 11235,25873,892,13593,561,12280,685,(X),(X),53074,2322,48158,3617,62916,2977,66914,3652,58491,3427
8600000US11236,11236,ZCTA5 11236,35988,981,15656,682,20332,666,(X),(X),45845,1873,43621,1835,52940,1309,54105,2346,52043,1427
8600000US11237,11237,ZCTA5 11237,20367,937,12622,737,7745,539,(X),(X),33319,1511,36421,1821,42538,1805,41378,2112,44430,3149
8600000US11238,11238,ZCTA5 11238,24030,852,11889,614,12141,586,(X),(X),62525,1704,56604,2497,79074,3524,85748,5890,72538,3434
8600000US11239,11239,ZCTA5 11239,2843,428,1141,301,1702,315,(X),(X),35521,5684,44308,3669,44057,3660,42200,6194,45302,4319
8600000US11351,11351,ZCTA5 11351,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US11354,11354,ZCTA5 11354,20042,1153,11739,843,8303,658,(X),(X),40202,2757,36378,1970,49537,2962,53342,4282,44156,2783
8600000US11355,11355,ZCTA5 11355,26296,1221,15410,704,10886,962,(X),(X),32339,2905,32394,3713,42064,1369,42800,1682,41021,2174
8600000US11356,11356,ZCTA5 11356,8226,553,4760,434,3466,367,(X),(X),41272,2427,43783,4026,51709,3638,53992,5772,48573,3461
8600000US11357,11357,ZCTA5 11357,12850,778,7463,482,5387,481,(X),(X),65585,4207,54207,3468,71494,4145,78164,6758,62253,3203
8600000US11358,11358,ZCTA5 11358,13959,680,8096,451,5863,442,(X),(X),50762,1541,47480,4885,60682,2350,63363,2682,56980,3424
8600000US11359,11359,ZCTA5 11359,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US11360,11360,ZCTA5 11360,6585,542,3679,364,2906,312,(X),(X),73938,8500,63603,10311,84216,6101,91761,9276,74665,6102
8600000US11361,11361,ZCTA5 11361,10945,527,6290,363,4655,318,(X),(X),62194,2541,53180,2672,69806,2876,74581,3780,63354,3282
8600000US11362,11362,ZCTA5 11362,6631,586,3423,357,3208,420,(X),(X),64631,8766,66712,5944,71907,3802,72435,5323,71344,5165
8600000US11363,11363,ZCTA5 11363,2539,283,1647,211,892,174,(X),(X),72136,6470,60341,12187,89830,13633,97553,19133,75570,10897
8600000US11364,11364,ZCTA5 11364,12696,612,6956,416,5740,393,(X),(X),58531,4511,60077,6255,68567,3616,68644,4355,68474,5332
8600000US11365,11365,ZCTA5 11365,14526,779,7996,578,6530,534,(X),(X),53834,4255,47383,5693,62887,4968,69905,7663,54294,3487
8600000US11366,11366,ZCTA5 11366,4440,414,2399,267,2041,249,(X),(X),56584,6556,60508,4205,70622,5705,71831,6981,69200,6918
8600000US11367,11367,ZCTA5 11367,13551,788,7599,647,5952,470,(X),(X),50003,3175,49409,3230,58417,2318,61059,3508,55043,2872
8600000US11368,11368,ZCTA5 11368,37393,1597,26206,1375,11187,790,(X),(X),27013,704,30068,1206,34771,1034,33881,1037,36856,2490
8600000US11369,11369,ZCTA5 11369,12478,752,7561,567,4917,421,(X),(X),33063,3600,34639,2579,44650,1946,45567,3067,43238,2728
8600000US11370,11370,ZCTA5 11370,9625,789,6014,528,3611,420,(X),(X),40695,3193,43199,6541,55358,6255,58656,9322,49865,3608
8600000US11371,11371,ZCTA5 11371,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US11372,11372,ZCTA5 11372,24656,1468,15809,1123,8847,915,(X),(X),37620,2848,38019,3716,49363,2594,52128,3965,44420,2224
8600000US11373,11373,ZCTA5 11373,34124,1545,20918,1221,13206,791,(X),(X),35254,1555,35193,2138,43444,1400,44530,1908,41722,1580
8600000US11374,11374,ZCTA5 11374,16273,1091,8980,807,7293,653,(X),(X),54012,3983,57641,4397,67647,3321,69309,4991,65600,3035
8600000US11375,11375,ZCTA5 11375,27888,1062,15002,728,12886,610,(X),(X),73580,3309,65735,2513,85725,3030,95441,4943,74414,3253
8600000US11377,11377,ZCTA5 11377,35040,1514,21626,1120,13414,899,(X),(X),36584,1115,37845,3120,46594,1512,47104,1848,45773,2073
8600000US11378,11378,ZCTA5 11378,12285,583,6910,403,5375,385,(X),(X),50449,3574,46053,1894,59743,2967,63193,4500,55308,3677
8600000US11379,11379,ZCTA5 11379,13744,652,7492,442,6252,451,(X),(X),56376,4506,52201,2295,65177,2861,67162,3423,62798,4181
8600000US11385,11385,ZCTA5 11385,41916,1187,23496,921,18420,818,(X),(X),44410,2251,38760,2398,50874,1392,53804,1824,47137,2078
8600000US11411,11411,ZCTA5 11411,7118,393,3361,275,3757,278,(X),(X),47111,3943,50957,2155,57519,2077,57289,3360,57725,2794
8600000US11412,11412,ZCTA5 11412,13991,666,6481,435,7510,402,(X),(X),47056,2423,41892,1002,51856,1725,55385,3259,48811,1722
8600000US11413,11413,ZCTA5 11413,15945,776,6958,527,8987,515,(X),(X),50658,2146,47092,2972,56241,1764,58099,2596,54803,2340
8600000US11414,11414,ZCTA5 11414,9581,744,4997,557,4584,567,(X),(X),63445,5081,51866,4909,73532,6878,85547,12459,60435,5095
8600000US11415,11415,ZCTA5 11415,7657,533,4364,435,3293,343,(X),(X),60135,6614,56269,3850,69296,6570,73369,7330,63899,7782
8600000US11416,11416,ZCTA5 11416,8528,496,4986,354,3542,306,(X),(X),40661,2083,37353,2357,47513,1836,48901,2835,45559,2574
8600000US11417,11417,ZCTA5 11417,10354,592,6183,412,4171,340,(X),(X),48698,3441,44752,4195,56029,2670,58795,3389,51929,4066
8600000US11418,11418,ZCTA5 11418,13759,718,8554,565,5205,391,(X),(X),42012,1364,37319,2816,50546,2105,53087,2596,46369,2750
8600000US11419,11419,ZCTA5 11419,17635,903,10573,710,7062,529,(X),(X),39189,2130,35569,1577,44017,1440,45627,1938,41606,2131
8600000US11420,11420,ZCTA5 11420,16385,736,9089,471,7296,520,(X),(X),42586,2327,38407,2694,49447,2339,52876,3187,45175,2265
8600000US11421,11421,ZCTA5 11421,15841,892,8582,572,7259,549,(X),(X),40462,2117,37943,3217,49040,2152,50377,2926,47460,2643
8600000US11422,11422,ZCTA5 11422,13209,730,5984,432,7225,478,(X),(X),51346,1504,46303,2864,56400,2236,59354,3676,53954,3090
8600000US11423,11423,ZCTA5 11423,11184,660,6307,516,4877,428,(X),(X),45513,4922,40738,2301,55561,3160,60874,4496,48690,3306
8600000US11424,11424,ZCTA5 11424,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US11425,11425,ZCTA5 11425,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US11426,11426,ZCTA5 11426,6832,596,4321,431,2511,267,(X),(X),56066,6450,53569,6314,62355,5042,62867,6491,61473,4636
8600000US11427,11427,ZCTA5 11427,7868,525,4264,416,3604,287,(X),(X),52327,4008,48722,4319,66783,4890,74050,8124,58184,5241
8600000US11428,11428,ZCTA5 11428,7536,508,4138,319,3398,332,(X),(X),40927,2253,39595,3483,47071,2089,48586,2993,45227,3130
8600000US11429,11429,ZCTA5 11429,9805,680,4854,469,4951,465,(X),(X),46890,3802,42847,4308,51767,2465,55315,4115,48287,2480
8600000US11430,11430,ZCTA5 11430,6,14,6,14,0,11,(X),(X),-,**,-,**,N,N,N,N,N,N
8600000US11432,11432,ZCTA5 11432,19435,938,11473,643,7962,628,(X),(X),38984,2820,41185,2162,53157,2749,54302,3724,51506,3385
8600000US11433,11433,ZCTA5 11433,10621,759,5478,543,5143,422,(X),(X),38254,3247,36343,1193,45535,3206,44621,2271,46508,6108
8600000US11434,11434,ZCTA5 11434,23229,1070,10113,696,13116,743,(X),(X),43566,3075,41763,1091,47712,1439,48956,2001,46753,1829
8600000US11435,11435,ZCTA5 11435,20728,844,11489,613,9239,580,(X),(X),41362,2272,43264,3307,50242,1794,50663,2544,49719,2335
