GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43
8600000US11970,11970,ZCTA5 11970,505,293,166,112,339,199,54.5,3.4,59.4,8.4,51.2,4.2,49,23.3,(X),(X),(X),(X),13.5,21.8,(X),(X),(X),(X),13.5,21.8,(X),(X),(X),(X),-,**,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),9.1,(X),(X),(X),(X),(X)
8600000US11971,11971,ZCTA5 11971,6317,594,3180,435,3137,316,53.3,1.9,53.6,3.4,53.1,2.7,101.4,15.2,(X),(X),(X),(X),91,17.4,(X),(X),(X),(X),56.3,15.3,(X),(X),(X),(X),34.7,6.5,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.4,(X),(X),(X),(X),(X)
8600000US11972,11972,ZCTA5 11972,1112,322,579,217,533,144,40.4,6.4,34.9,14.8,41.3,6,108.6,33.8,(X),(X),(X),(X),56,21.2,(X),(X),(X),(X),10.7,7.3,(X),(X),(X),(X),45.3,19.7,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),4.1,(X),(X),(X),(X),(X)
8600000US11973,11973,ZCTA5 11973,33,18,7,15,26,18,21,2.2,-,**,20.6,2.4,26.9,76.8,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US11975,11975,ZCTA5 11975,359,121,199,75,160,53,57.9,16.6,55.8,14.5,61.5,18.3,124.4,30.8,(X),(X),(X),(X),124.4,53.7,(X),(X),(X),(X),83.1,52.5,(X),(X),(X),(X),41.3,29.7,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.1,(X),(X),(X),(X),(X)
8600000US11976,11976,ZCTA5 11976,1934,327,995,175,939,180,55.4,1.3,54.5,3.6,55.9,2.7,106,15,(X),(X),(X),(X),68.5,20.1,(X),(X),(X),(X),44.9,17.1,(X),(X),(X),(X),23.6,7.8,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.5,(X),(X),(X),(X),(X)
8600000US11977,11977,ZCTA5 11977,2271,348,1069,181,1202,203,55.3,2.2,54.8,4.1,55.5,2.7,88.9,12.8,(X),(X),(X),(X),66.4,18.7,(X),(X),(X),(X),41.1,15.8,(X),(X),(X),(X),25.3,6.9,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),2.5,(X),(X),(X),(X),(X)
8600000US11978,11978,ZCTA5 11978,3233,334,1481,229,1752,182,51.4,3.6,47.5,7.2,52.4,3.8,84.5,13.3,(X),(X),(X),(X),92.8,17.2,(X),(X),(X),(X),56.9,13.6,(X),(X),(X),(X),35.9,7.9,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),3.3,(X),(X),(X),(X),(X)
8600000US11980,11980,ZCTA5 11980,4756,349,2703,224,2053,205,40.9,2,39.5,2,44.5,2.5,131.7,14,(X),(X),(X),(X),43.9,6.4,(X),(X),(X),(X),19.3,3.1,(X),(X),(X),(X),24.7,5,(X),(X),(X),(X),0.3,(X),(X),(X),(X),(X),2.8,(X),(X),(X),(X),(X)
8600000US12007,12007,ZCTA5 12007,97,84,65,65,32,21,39,19.4,39,59.7,43.5,21.7,203.1,114.7,(X),(X),(X),(X),90.2,85.7,(X),(X),(X),(X),27.5,66.1,(X),(X),(X),(X),62.7,67.3,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12008,12008,ZCTA5 12008,485,132,284,115,201,72,42.8,8,42.1,9.4,44.5,7.4,141.3,79.4,(X),(X),(X),(X),75.1,49.3,(X),(X),(X),(X),36.5,31.6,(X),(X),(X),(X),38.6,31.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12009,12009,ZCTA5 12009,7327,433,3568,282,3759,237,44.2,2.7,44.4,2.9,44,3,94.9,7.6,(X),(X),(X),(X),49.6,5.4,(X),(X),(X),(X),20.5,3.6,(X),(X),(X),(X),29.1,4.6,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.6,(X),(X),(X),(X),(X)
8600000US12010,12010,ZCTA5 12010,28802,439,13873,326,14929,335,41.7,0.9,40.8,1.2,42.7,1.4,92.9,3.2,(X),(X),(X),(X),63.7,2.9,(X),(X),(X),(X),28.9,1.9,(X),(X),(X),(X),34.8,2.5,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.4,(X),(X),(X),(X),(X)
8600000US12015,12015,ZCTA5 12015,2804,412,1359,201,1445,245,44.4,5.1,39.5,3.8,46.7,3.2,94,11.9,(X),(X),(X),(X),73.6,13.4,(X),(X),(X),(X),30.5,7.3,(X),(X),(X),(X),43.1,13.3,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1,(X),(X),(X),(X),(X)
8600000US12017,12017,ZCTA5 12017,310,119,134,54,176,68,39.2,14.9,42.5,12.8,38.5,17.2,76.1,15.1,(X),(X),(X),(X),52.7,20.1,(X),(X),(X),(X),8.4,5.7,(X),(X),(X),(X),44.3,19.6,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
