GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
8600000US11228,11228,ZCTA5 11228,43929,1487
8600000US11229,11229,ZCTA5 11229,81030,1886
8600000US11230,11230,ZCTA5 11230,84219,2230
8600000US11231,11231,ZCTA5 11231,34137,1361
8600000US11232,11232,ZCTA5 11232,28824,1068
8600000US11233,11233,ZCTA5 11233,68599,2019
8600000US11234,11234,ZCTA5 11234,94259,2162
8600000US11235,11235,ZCTA5 11235,74630,1990
8600000US11236,11236,ZCTA5 11236,97217,1729
8600000US11237,11237,ZCTA5 11237,55478,1842
8600000US11238,11238,ZCTA5 11238,51895,1906
8600000US11239,11239,ZCTA5 11239,12879,936
8600000US11351,11351,ZCTA5 11351,0,12
8600000US11354,11354,ZCTA5 11354,56258,1944
8600000US11355,11355,ZCTA5 11355,83221,2367
8600000US11356,11356,ZCTA5 11356,23037,1351
8600000US11357,11357,ZCTA5 11357,40872,1526
8600000US11358,11358,ZCTA5 11358,38317,1399
8600000US11359,11359,ZCTA5 11359,0,12
8600000US11360,11360,ZCTA5 11360,19865,1077
8600000US11361,11361,ZCTA5 11361,30597,1130
8600000US11362,11362,ZCTA5 11362,17865,877
8600000US11363,11363,ZCTA5 11363,7354,578
8600000US11364,11364,ZCTA5 11364,34751,1199
8600000US11365,11365,ZCTA5 11365,41924,1819
8600000US11366,11366,ZCTA5 11366,13499,826
8600000US11367,11367,ZCTA5 11367,41022,1569
8600000US11368,11368,ZCTA5 11368,107962,3175
8600000US11369,11369,ZCTA5 11369,40761,1875
8600000US11370,11370,ZCTA5 11370,37244,1585
8600000US11371,11371,ZCTA5 11371,0,12
8600000US11372,11372,ZCTA5 11372,63320,2124
8600000US11373,11373,ZCTA5 11373,99159,2361
8600000US11374,11374,ZCTA5 11374,42297,1424
8600000US11375,11375,ZCTA5 11375,69757,1655
8600000US11377,11377,ZCTA5 11377,86316,2464
8600000US11378,11378,ZCTA5 11378,32268,1307
8600000US11379,11379,ZCTA5 11379,35822,1318
8600000US11385,11385,ZCTA5 11385,99379,2176
8600000US11411,11411,ZCTA5 11411,18722,783
8600000US11412,11412,ZCTA5 11412,37176,1459
8600000US11413,11413,ZCTA5 11413,40385,1359
8600000US11414,11414,ZCTA5 11414,28094,1136
8600000US11415,11415,ZCTA5 11415,19145,1069
8600000US11416,11416,ZCTA5 11416,25950,1271
8600000US11417,11417,ZCTA5 11417,31004,1562
8600000US11418,11418,ZCTA5 11418,36828,1309
8600000US11419,11419,ZCTA5 11419,49193,1929
8600000US11420,11420,ZCTA5 11420,48449,1764
8600000US11421,11421,ZCTA5 11421,42588,1513
8600000US11422,11422,ZCTA5 11422,33280,1364
8600000US11423,11423,ZCTA5 11423,31625,1430
8600000US11424,11424,ZCTA5 11424,0,12
8600000US11425,11425,ZCTA5 11425,0,12
8600000US11426,11426,ZCTA5 11426,19575,1213
8600000US11427,11427,ZCTA5 11427,24877,1295
8600000US11428,11428,ZCTA5 11428,20307,920
8600000US11429,11429,ZCTA5 11429,28311,1308
8600000US11430,11430,ZCTA5 11430,140,114
8600000US11432,11432,ZCTA5 11432,61687,1910
8600000US11433,11433,ZCTA5 11433,32821,1550
8600000US11434,11434,ZCTA5 11434,62809,1837
8600000US11435,11435,ZCTA5 11435,53542,1806
8600000US11436,11436,ZCTA5 11436,17636,885
8600000US11451,11451,ZCTA5 11451,0,12
8600000US11501,11501,ZCTA5 11501,18991,158
8600000US11507,11507,ZCTA5 11507,6998,649
8600000US11509,11509,ZCTA5 11509,2022,246
8600000US11510,11510,ZCTA5 11510,32553,1292
8600000US11514,11514,ZCTA5 11514,5273,359
8600000US11516,11516,ZCTA5 11516,7477,437
8600000US11518,11518,ZCTA5 11518,10243,549
8600000US11520,11520,ZCTA5 11520,43472,266
8600000US11530,11530,ZCTA5 11530,28019,512
8600000US11542,11542,ZCTA5 11542,27585,225
8600000US11545,11545,ZCTA5 11545,13005,659
8600000US11547,11547,ZCTA5 11547,718,188
8600000US11548,11548,ZCTA5 11548,2338,325
8600000US11549,11549,ZCTA5 11549,2429,279
8600000US11550,11550,ZCTA5 11550,56773,384
8600000US11552,11552,ZCTA5 11552,22565,1126
8600000US11553,11553,ZCTA5 11553,26231,1022
8600000US11554,11554,ZCTA5 11554,37687,1186
8600000US11556,11556,ZCTA5 11556,0,12
8600000US11557,11557,ZCTA5 11557,7538,820
8600000US11558,11558,ZCTA5 11558,8688,336
8600000US11559,11559,ZCTA5 11559,8188,470
8600000US11560,11560,ZCTA5 11560,6534,477
8600000US11561,11561,ZCTA5 11561,37894,426
8600000US11563,11563,ZCTA5 11563,23177,652
8600000US11565,11565,ZCTA5 11565,8752,189
8600000US11566,11566,ZCTA5 11566,33582,788
8600000US11568,11568,ZCTA5 11568,4000,197
8600000US11569,11569,ZCTA5 11569,1309,313
8600000US11570,11570,ZCTA5 11570,27235,685
8600000US11572,11572,ZCTA5 11572,28627,950
8600000US11575,11575,ZCTA5 11575,16200,993
8600000US11576,11576,ZCTA5 11576,12524,630
8600000US11577,11577,ZCTA5 11577,12541,676
8600000US11579,11579,ZCTA5 11579,5369,439
8600000US11580,11580,ZCTA5 11580,41129,1231
8600000US11581,11581,ZCTA5 11581,21134,883
8600000US11590,11590,ZCTA5 11590,45656,1385
8600000US11596,11596,ZCTA5 11596,10582,216
8600000US11598,11598,ZCTA5 11598,13167,994
8600000US11691,11691,ZCTA5 11691,61091,1707
8600000US11692,11692,ZCTA5 11692,17674,1116
8600000US11693,11693,ZCTA5 11693,11335,902
8600000US11694,11694,ZCTA5 11694,21725,1169
8600000US11697,11697,ZCTA5 11697,4223,403
8600000US11701,11701,ZCTA5 11701,27536,1461
8600000US11702,11702,ZCTA5 11702,14706,547
8600000US11703,11703,ZCTA5 11703,15954,718
8600000US11704,11704,ZCTA5 11704,40617,1007
8600000US11705,11705,ZCTA5 11705,7726,402
8600000US11706,11706,ZCTA5 11706,65821,2107
8600000US11709,11709,ZCTA5 11709,6701,26
8600000US11710,11710,ZCTA5 11710,35345,1148
8600000US11713,11713,ZCTA5 11713,9328,770
8600000US11714,11714,ZCTA5 11714,23799,883
8600000US11715,11715,ZCTA5 11715,4441,341
8600000US11716,11716,ZCTA5 11716,11336,597
8600000US11717,11717,ZCTA5 11717,57375,1908
8600000US11718,11718,ZCTA5 11718,3105,20
8600000US11719,11719,ZCTA5 11719,3290,489
8600000US11720,11720,ZCTA5 11720,29931,1351
8600000US11721,11721,ZCTA5 11721,6369,382
8600000US11722,11722,ZCTA5 11722,38241,1558
8600000US11724,11724,ZCTA5 11724,2846,312
8600000US11725,11725,ZCTA5 11725,28602,590
8600000US11726,11726,ZCTA5 11726,20233,1500
8600000US11727,11727,ZCTA5 11727,29056,1390
8600000US11729,11729,ZCTA5 11729,27562,922
8600000US11730,11730,ZCTA5 11730,13921,698
8600000US11731,11731,ZCTA5 11731,29173,818
8600000US11732,11732,ZCTA5 11732,3469,322
8600000US11733,11733,ZCTA5 11733,17788,774
8600000US11735,11735,ZCTA5 11735,32502,815
8600000US11738,11738,ZCTA5 11738,18131,1163
8600000US11739,11739,ZCTA5 11739,1467,301
8600000US11740,11740,ZCTA5 11740,9459,619
8600000US11741,11741,ZCTA5 11741,27688,1047
8600000US11742,11742,ZCTA5 11742,13404,856
8600000US11743,11743,ZCTA5 11743,43611,1200
8600000US11746,11746,ZCTA5 11746,67412,1296
8600000US11747,11747,ZCTA5 11747,20214,875
8600000US11749,11749,ZCTA5 11749,3431,149
8600000US11751,11751,ZCTA5 11751,14293,745
8600000US11752,11752,ZCTA5 11752,9367,394
8600000US11753,11753,ZCTA5 11753,11748,626
8600000US11754,11754,ZCTA5 11754,19110,794
8600000US11755,11755,ZCTA5 11755,12222,220
8600000US11756,11756,ZCTA5 11756,42817,1144
8600000US11757,11757,ZCTA5 11757,45565,960
8600000US11758,11758,ZCTA5 11758,55009,1130
8600000US11762,11762,ZCTA5 11762,22431,566
8600000US11763,11763,ZCTA5 11763,29495,1159
8600000US11764,11764,ZCTA5 11764,12846,729
8600000US11765,11765,ZCTA5 11765,654,113
8600000US11766,11766,ZCTA5 11766,11887,817
8600000US11767,11767,ZCTA5 11767,15341,832
8600000US11768,11768,ZCTA5 11768,21735,635
8600000US11769,11769,ZCTA5 11769,8592,536
8600000US11770,11770,ZCTA5 11770,199,109
8600000US11771,11771,ZCTA5 11771,8981,550
8600000US11772,11772,ZCTA5 11772,45265,1191
8600000US11776,11776,ZCTA5 11776,25969,1308
8600000US11777,11777,ZCTA5 11777,9351,345
8600000US11778,11778,ZCTA5 11778,12605,731
8600000US11779,11779,ZCTA5 11779,39094,1291
8600000US11780,11780,ZCTA5 11780,14676,634
8600000US11782,11782,ZCTA5 11782,15132,551
8600000US11783,11783,ZCTA5 11783,21145,944
8600000US11784,11784,ZCTA5 11784,26158,1302
8600000US11786,11786,ZCTA5 11786,6378,498
8600000US11787,11787,ZCTA5 11787,36606,1105
8600000US11788,11788,ZCTA5 11788,16598,715
8600000US11789,11789,ZCTA5 11789,7935,652
8600000US11790,11790,ZCTA5 11790,18073,761
8600000US11791,11791,ZCTA5 11791,25639,672
8600000US11792,11792,ZCTA5 11792,9303,648
8600000US11793,11793,ZCTA5 11793,32348,890
8600000US11794,11794,ZCTA5 11794,3080,323
8600000US11795,11795,ZCTA5 11795,25821,838
8600000US11796,11796,ZCTA5 11796,3939,364
8600000US11797,11797,ZCTA5 11797,8796,445
8600000US11798,11798,ZCTA5 11798,14920,840
8600000US11801,11801,ZCTA5 11801,39653,1391
8600000US11803,11803,ZCTA5 11803,28448,654
8600000US11804,11804,ZCTA5 11804,4921,321
8600000US11901,11901,ZCTA5 11901,29579,1287
8600000US11930,11930,ZCTA5 11930,1201,297
8600000US11931,11931,ZCTA5 11931,51,61
8600000US11932,11932,ZCTA5 11932,933,234
8600000US11933,11933,ZCTA5 11933,6391,703
8600000US11934,11934,ZCTA5 11934,7425,637
8600000US11935,11935,ZCTA5 11935,3271,354
8600000US11937,11937,ZCTA5 11937,15794,533
8600000US11939,11939,ZCTA5 11939,1012,188
8600000US11940,11940,ZCTA5 11940,5019,464
8600000US11941,11941,ZCTA5 11941,1799,324
8600000US11942,11942,ZCTA5 11942,4501,552
8600000US11944,11944,ZCTA5 11944,4277,494
8600000US11946,11946,ZCTA5 11946,13297,1055
8600000US11947,11947,ZCTA5 11947,114,187
8600000US11948,11948,ZCTA5 11948,1164,545
8600000US11949,11949,ZCTA5 11949,14241,740
8600000US11950,11950,ZCTA5 11950,17712,1083
8600000US11951,11951,ZCTA5 11951,14048,945
8600000US11952,11952,ZCTA5 11952,4659,529
8600000US11953,11953,ZCTA5 11953,12302,749
8600000US11954,11954,ZCTA5 11954,3471,409
8600000US11955,11955,ZCTA5 11955,2789,508
8600000US11956,11956,ZCTA5 11956,329,93
8600000US11957,11957,ZCTA5 11957,714,152
8600000US11958,11958,ZCTA5 11958,262,125
8600000US11959,11959,ZCTA5 11959,766,186
8600000US11960,11960,ZCTA5 11960,878,226
8600000US11961,11961,ZCTA5 11961,11906,694
8600000US11962,11962,ZCTA5 11962,469,292
8600000US11963,11963,ZCTA5 11963,6602,788
8600000US11964,11964,ZCTA5 11964,1846,242
8600000US11965,11965,ZCTA5 11965,631,205
8600000US11967,11967,ZCTA5 11967,26488,1242
8600000US11968,11968,ZCTA5 11968,11245,740
8600000US11970,11970,ZCTA5 11970,505,293
8600000US11971,11971,ZCTA5 11971,6317,594
8600000US11972,11972,ZCTA5 11972,1112,322
8600000US11973,11973,ZCTA5 11973,33,18
8600000US11975,11975,ZCTA5 11975,359,121
8600000US11976,11976,ZCTA5 11976,1934,327
8600000US11977,11977,ZCTA5 11977,2271,348
8600000US11978,11978,ZCTA5 11978,3233,334
8600000US11980,11980,ZCTA5 11980,4756,349
8600000US12007,12007,ZCTA5 12007,97,84
8600000US12008,12008,ZCTA5 12008,485,132
8600000US12009,12009,ZCTA5 12009,7327,433
